angle, time_diff, t, z, sigmah, sigmav, sigmas, rice, Nice, g_t, Qabs_t, Qsca_t, g_s, Qabs_s, Qsca_s, CCS, CCS_cal, V_inter, IWC, RHice, Re, v_sed, windshear_s, wind_u, wind_v, wind_w, lat, lon, altitude
45.0, 900.0, 5.485275620742618, -0.056288817026569446, 21.35656136654849, 3.669149097394976, 0.0020787654458053395, 1.9126607032412356E-6, 6.94870354327082E14, 0.6162231057962636, 0.12583212695470342, 9.36921729287471E-4, 0.6879726870608275, -0.23663401619689114, 2.125082556619547, 492.3529631669301, 483.09894447306846, 238510.47959843845, 2.1965149948911954E-5, 146.58448830770953, 5.3141454945591065E-5, 5.078732404889777E-4, 2.831263709139001E-5, 40.761004071071625, 0.592283691795485, -0.00982710793458138, -49.9868, 150.5281, 10491
45.0, 900.0, 5.794868244764081, -0.059488842083854146, 21.6445470824291, 3.6703394810665766, 0.002202916952789442, 1.9145604172812557E-6, 6.953633706159941E14, 0.6164400548427784, 0.12588212891039763, 9.84042114036493E-4, 0.6854514692883394, -0.0029445807472495405, 1.8968310546443221, 499.15405787950294, 489.6417498372655, 241781.77071614898, 2.166586847692243E-5, 146.58107938875168, 5.329996980578425E-5, 5.088825534951864E-4, 2.8391355896620046E-5, 40.76042379768568, 0.5916203585150841, -0.009827361887531553, -49.9867, 150.5283, 10491
45.0, 900.0, 6.121934483508941, -0.06286990939719292, 21.944681998099835, 3.671596631560653, 0.0023348723583563316, 1.9165319337284503E-6, 6.958788983937726E14, 0.616664910914716, 0.12593399069785016, 0.0010329636299773182, 0.6828867917512712, 0.18290469792601388, 1.7166158637439686, 506.2489351935514, 496.46359483169664, 245194.31137979912, 2.1362228961011137E-5, 146.57748053068167, 5.3464810330463735E-5, 5.099310764833104E-4, 2.8474517906869445E-5, 40.75981078118342, 0.5909196037686937, -0.00982763022909058, -49.9867, 150.5285, 10491
45.0, 900.0, 6.467460559476737, -0.06644228058399541, 22.2573608293187, 3.672924269063746, 0.002475165413728977, 1.9185769858637356E-6, 6.964178290500491E14, 0.6168978393297704, 0.1259877545565868, 0.001083731488712908, 0.6826350611685374, 0.18680577542677915, 1.718547389085393, 513.6478900981467, 503.57392682736685, 248753.07213243065, 2.105451100517552E-5, 146.57368101318718, 5.363615943272348E-5, 5.110198506857047E-4, 2.8562373930812375E-5, 40.75916317443845, 0.5901793174852421, -0.009827913777786716, -49.9867, 150.5287, 10491
45.0, 900.0, 6.832488358224368, -0.07021680065730188, 22.58298525644451, 3.674326318225504, 0.0026243709710434167, 1.9206972501380584E-6, 6.969810843352836E14, 0.6171389967736225, 0.12604346100325847, 0.0011363896340272628, 0.6810086644592189, 0.2831610941092216, 1.6282249715284878, 521.3614822031675, 510.98240854752447, 252463.15686992157, 2.0743006544488815E-5, 146.56966951090234, 5.381419797196679E-5, 5.121498953982004E-4, 2.8655188934380333E-5, 40.7584790261779, 0.5893972707331949, -0.009828213399092286, -49.9867, 150.5289, 10491
45.0, 900.0, 7.218118570026269, -0.07420493135094698, 22.921963956616768, 3.675806919074572, 0.0027831086029429706, 1.9228943952113194E-6, 6.975696176461175E14, 0.6173885368324297, 0.12610115011453726, 0.0011909819622000772, 0.6859311780639628, -0.10054187522218624, 2.0181624406190246, 529.4005453283067, 518.6989247411341, 256329.80849581555, 2.0428017962864467E-5, 146.56541225366047, 5.399909895041487E-5, 5.133222045994232E-4, 2.8753242844525295E-5, 40.75775627511628, 0.5885711090384333, -0.009828530008160082, -49.9867, 150.5291, 10491
45.0, 900.0, 7.625514008851994, -0.07841878636052826, 23.27471265672612, 3.677370438480762, 0.0029520465836482997, 1.9251701273051203E-6, 6.981844154172375E14, 0.6176466150607901, 0.12616086270844207, 0.0012475534538201327, 0.680898653190742, 0.27092804803094, 1.6531295122492031, 537.7761983028735, 526.7335898888392, 260358.41529123217, 2.010985861832375E-5, 146.56094021343367, 5.419107144187078E-5, 5.145378904427737E-4, 2.8856831390059427E-5, 40.75699274376054, 0.5876983453291285, -0.009828864572362999, -49.9867, 150.5294, 10491
45.0, 900.0, 8.055903118669105, -0.08287116864330879, 23.641654208763843, 3.6790214821866916, 0.0031319062674932687, 1.927526092833191E-6, 6.988264986271151E14, 0.6179133778537529, 0.12622263777962833, 0.0013061477583870829, 0.6860614226605194, -0.14263554664797437, 2.0733327608174377, 546.4998570723877, 535.0967570258457, 264554.5180598214, 1.9788847816766452E-5, 146.5561964265277, 5.439028251603422E-5, 5.157979234602358E-4, 2.8966266997144202E-5, 40.75618613186626, 0.5867763524848666, -0.009829218115812189, -49.9867, 150.5296, 10491
45.0, 900.0, 8.510583677644155, -0.08757560979811907, 24.023218688949992, 3.680764907432581, 0.0033234669110008158, 1.929963960458282E-6, 6.994969244250044E14, 0.6181889716900445, 0.12628651464496707, 0.0013668092375327123, 0.6881757079471276, -0.3871195801495414, 2.3246587150713625, 555.5832482083375, 543.7990277657159, 268923.8181092096, 1.9465312736655895E-5, 146.5511885917202, 5.4596934340489815E-5, 5.171033850138578E-4, 2.9081879729334483E-5, 40.75533400952672, 0.5858023554695406, -0.009829591720093216, -49.9867, 150.5299, 10491
45.0, 900.0, 8.99092671141123, -0.09254641180102287, 24.419843521836984, 3.682605836198334, 0.0035275709871073046, 1.932485392836242E-6, 7.001967878866062E14, 0.6184735398471216, 0.1263525321926902, 0.0014295822672005798, 0.6878150479976344, -0.3580657704543487, 2.3026480048835345, 565.0384239178529, 552.851263608578, 273472.18613200594, 1.913958481449368E-5, 146.5459018060098, 5.4811221881421765E-5, 5.184553335246981E-4, 2.9204018286708567E-5, 40.75443380987384, 0.5847734230245858, -0.009829986530250634, -49.9867, 150.5301, 10491
