angle, time_diff, t, z, sigmah, sigmav, sigmas, rice, Nice, g_t, Qabs_t, Qsca_t, g_s, Qabs_s, Qsca_s, CCS, CCS_rest, V, V_rest, IWC, RHice, Re, v_sed, windshear_s, wind_u, wind_v, wind_w, lat, lon, altitude
0.0, 900.0, 1120.703793944315, -12.091105824202561, 212.29158719796104, 6.704108868999736, 10.112766173865303, 2.37101269787626E-6, 3.376278177165741E15, 0.6616064294769687, 0.1371375402007062, 0.012745660614709026, 0.6957406364786025, -0.06327201842706348, 1.8239699553630464, 8942.24397849173, 4780.720241201126, 4.167085693977146E7, 2.2278156323997244E7, 7.991648296429879E-6, 135.3674747161598, 1.0120915799260308E-4, 7.798239513339289E-4, 4.699405501631726E-4, 38.79716211722207, -1.880929321609409, -0.009747755368589153, -49.9929, 151.1516, 10479
0.0, 900.0, 1183.8999149666872, -12.744381051135223, 218.16577168761484, 6.835647074824596, 11.545562239097272, 2.398927199394239E-6, 3.3574260763803245E15, 0.6639822150629345, 0.1377813556741308, 0.013486905033601782, 0.697732270433529, -0.09353082956112453, 1.8090571878749127, 9369.959933015116, 4982.14242928979, 4.366401328785044E7, 2.3216783720490422E7, 7.90044011457555E-6, 134.96178808286686, 1.0483299181274013E-4, 7.982751150885477E-4, 4.956448921946806E-4, 38.70417891374683, -2.0441541413065965, -0.009538973648895853, -49.994, 151.1859, 10478
0.0, 900.0, 1250.6596446195063, -13.421175767439411, 224.20444199052568, 6.971907620857394, 13.195687029193206, 2.4272757427841568E-6, 3.3391663016292015E15, 0.6663560883679812, 0.13843047245027082, 0.014241606847848892, 0.6976562887105064, 0.1369839251746467, 1.5441062670314174, 9821.230251083442, 5194.43688240344, 4.576693297004884E7, 2.420607587200003E7, 7.808592686968804E-6, 134.53010892904712, 1.0860113909353455E-4, 8.172330605321221E-4, 5.218610958168883E-4, 38.606180215755124, -2.216015574121859, -0.009320515673988632, -49.9952, 151.2221, 10478
0.0, 900.0, 1321.183933629898, -14.121384565548615, 230.41222566813607, 7.113017204686965, 15.097628482341783, 2.456041288803709E-6, 3.3214844563790745E15, 0.668725831092565, 0.13908437303760862, 0.015009309124965536, 0.6985547316009255, 0.17253793441146986, 1.4869812776300122, 10297.402763371128, 5418.213524524134, 4.798589687730946E7, 2.5248875024282467E7, 7.715960901738097E-6, 134.07056984532355, 1.1251651924042571E-4, 8.366964733831979E-4, 5.486291662425927E-4, 38.50291486761081, -2.3969455376961566, -0.00909190120382895, -49.9966, 151.2602, 10477
0.0, 900.0, 1395.6850642708794, -14.844737280812328, 236.7938981851098, 7.259105118326409, 17.291491543445122, 2.4852038362118504E-6, 3.3043653546355145E15, 0.6710891068826065, 0.1397424875320487, 0.01578946820012797, 0.7001262712869697, 0.028105719241365717, 1.6242029065370007, 10799.901739294231, 5654.1151719677155, 5.032754210511112E7, 2.6348176701369554E7, 7.622387236839249E-6, 133.58100192540303, 1.1658145787271462E-4, 8.566613159237713E-4, 5.759925923584158E-4, 38.39412209269277, -2.587395783547451, -0.008852601094772785, -49.9982, 151.3004, 10476
0.0, 900.0, 1474.387289343531, -15.590670731620905, 243.35440352700772, 7.410303358699788, 19.830152063302606, 2.5147397508802894E-6, 3.2877931797069925E15, 0.6734434251381086, 0.14040418096374593, 0.016581435221245056, 0.6992748969565308, 0.15361062627364894, 1.5065698562658276, 11330.232383811483, 5902.815245416985, 5.2798882908561505E7, 2.750711904364315E7, 7.52770531080341E-6, 133.05928221030703, 1.2079778342716169E-4, 8.771207931660417E-4, 6.040676838489255E-4, 38.279555974120235, -2.787993168837561, -0.0086007760834666, -50.0, 151.3427, 10475
0.0, 900.0, 1557.5275071911658, -16.356101061157833, 250.0991576385113, 7.566746743374646, 22.921132980427178, 2.5446218471698995E-6, 3.2717492885832975E15, 0.6757861675364715, 0.14106875787290551, 0.017384457805052766, 0.7006620327911488, -0.15539034721614822, 1.8383789204168937, 11889.988060683852, 6165.292354558579, 5.5407344362786755E7, 2.873026237224298E7, 7.431778968439914E-6, 132.50782822442642, 1.2516675638882805E-4, 8.980648064189393E-4, 6.343862815969602E-4, 38.15956278411009, -3.0024555227049263, -0.008308409056875996, -50.0021, 151.3872, 10475
0.0, 900.0, 1645.3559747773274, -17.13948212090552, 257.0333633829075, 7.728573031310551, 26.558670067508736, 2.5748237737485277E-6, 3.2563561703358855E15, 0.6781149418077698, 0.14173556137481302, 0.018197797888276246, 0.6987981182955139, -0.00902442435232406, 1.7287118703933608, 12480.848464617373, 6442.524267350594, 5.816075384511696E7, 3.0022163085853767E7, 7.3344615853916855E-6, 131.9240055909596, 1.2968916529622568E-4, 9.194831088089929E-4, 6.655596612270662E-4, 38.03348494190038, -3.227998434236798, -0.007999934115498118, -50.0045, 151.4342, 10474
0.0, 900.0, 1738.137060974023, -17.938843192486964, 264.1650714125127, 7.895923048394852, 31.84391014758166, 2.605314913562903E-6, 3.2416908604940815E15, 0.6804271875493506, 0.14240386073576072, 0.019020594887180164, 0.6958971687798194, 0.18741373882034798, 1.5809465821187403, 13104.591039165385, 6734.846951783543, 6.106739424251069E7, 3.138438679531131E7, 7.2355916495039434E-6, 131.30622807267127, 1.3436513294798837E-4, 9.413616908547638E-4, 6.976515498163281E-4, 37.90109234242695, -3.4651031875117275, -0.0076741714658977184, -50.0072, 151.4836, 10473
0.0, 900.0, 1836.1500423276334, -18.75171393790558, 271.49916456266504, 8.068940817541861, 38.2564654218931, 2.636059950997766E-6, 3.2274825464446045E15, 0.6827201652304681, 0.1430728449299448, 0.019851853562262378, 0.6972427293637072, -0.17766152218764014, 2.0039736712398826, 13763.094899421802, 7043.111197574663, 6.413602223130559E7, 3.282089818069793E7, 7.135000176523539E-6, 130.65283696869687, 1.3919364247436957E-4, 9.636819946644696E-4, 7.307280739976706E-4, 37.76216051815129, -3.714257579428786, -0.00732979026341805, -50.0102, 151.5356, 10472
