t, z, sigmah, sigmav, sigmas, rice, Nice, g_t, Qabs_t, Qsca_t, g_s, Qabs_s, Qsca_s, CCS, CCS_rest, V, V_rest, IWC, RHice, Re, v_sed, windshear_s, wind_u, wind_v, wind_w, lat, lon, altitude
4886.86803982794, -37.92695656163188, 445.4681559847905, 12.176734137531518, 553.0447080549027, 3.967340164068089E-6, 5.226288627355819E15, 0.7552080498027827, 0.16841275952545384, 0.056559798379891696, 0.7035073382671654, -0.012906954137761576, 1.9989323506500414, 33879.60475593577, 33879.60475593577, 1.578789581626607E8, 1.3053660342169522E8, 1.0002214113871798E-5, 141.98756841705415, 4.770485640337662E-4, 0.0021836385731817433, 0.0010514971185195505, 35.6843249617144, -8.24774726833349, 0.004148474772152975, -50.1254, 152.6369, 10462
5111.879158016334, -37.07262438636746, 456.0628521998886, 12.428371908823094, 618.6497539462156, 4.030271190236503E-6, 5.192394724594316E15, 0.7577016845386294, 0.16947550338950407, 0.058302937205423816, 0.7060151560670422, -0.05295936718998069, 1.9582377658327519, 35368.983719997945, 35368.983719997945, 1.6481946413519043E8, 1.3535463650757784E8, 1.008397089474146E-5, 145.28188963888365, 5.002545309037441E-4, 0.0022535332552376442, 0.0010537030362248443, 35.53836390272599, -8.642217513256542, 0.006050307209343052, -50.1421, 152.7498, 10463
5349.590054179516, -35.6737558411708, 466.9208222940544, 12.688792650661062, 679.0489229511842, 4.099593830348042E-6, 5.157322417759883E15, 0.7603788094708087, 0.17063532346255467, 0.06022215971560915, 0.7083758519852836, -0.10546086046860631, 1.9429050076941328, 36942.5013954927, 36942.5013954927, 1.7215205650299597E8, 1.403940416353701E8, 1.0202473899275771E-5, 148.85711506853792, 5.266639896919674E-4, 0.0023318429375170507, 0.0010533641783088104, 35.387289350424645, -9.050092644664561, 0.008216470993243024, -50.1606, 152.8685, 10464
5600.717512278686, -33.597042526726796, 477.96061520571675, 12.95822787658472, 727.730310531032, 4.175739261398439E-6, 5.121487360534554E15, 0.7632384785910182, 0.1718965863487874, 0.062328930588886666, 0.7095874395372229, -0.07819811808595721, 1.883097869348461, 38604.84740300714, 38604.84740300714, 1.7989858889801326E8, 1.456698623876323E8, 1.0359853599379011E-5, 152.74670320908808, 5.567127520709555E-4, 0.0024194538684092254, 0.0010497986993934158, 35.23126053549249, -9.470839706420271, 0.010688829150379818, -50.181, 152.9935, 10466
5866.018772041122, -30.22136978984863, 489.2306264021999, 13.236914194336281, 768.4071748515639, 4.259133589365407E-6, 5.085124577119091E15, 0.7662773520543408, 0.17326317646199432, 0.06463442459095939, 0.7091456043533614, 0.036061185949644324, 1.7907661683717169, 40360.83166242704, 40360.83166242704, 1.8808147554691E8, 1.5118748347274226E8, 1.0534824909400676E-5, 154.94083479414607, 5.908904590489498E-4, 0.0025173680683441483, 0.0010412495898427696, 35.14250872216973, -9.673403808557557, 0.0152409801855468, -50.2036, 153.125, 10470
6146.293812310679, -25.424975879416486, 500.8104924433969, 13.525093523049055, 806.9335728386739, 4.346956079095039E-6, 5.048117542931622E15, 0.7693772640979777, 0.1746862729350486, 0.06706001131051478, 0.7076828825486852, 0.07820817861372885, 1.8254912616841938, 42215.336382685455, 42215.336382685455, 1.9672346754331422E8, 1.5694567436766165E8, 1.0725902314002299E-5, 157.16477909979116, 6.283373352342136E-4, 0.0026227136163611046, 0.0010250209079863887, 35.052916394455764, -9.869355884209762, 0.01973542186818669, -50.228, 153.2637, 10475
6442.387763272097, -24.761326687327728, 509.3434446192268, 13.82301331809084, 464.4678034168726, 4.439057867261386E-6, 5.01017416649543E15, 0.7725229655451191, 0.17616168385982478, 0.06960095750405665, 0.7069399317541878, -0.09501126144201441, 2.106526744248614, 44147.3815206569, 44147.3815206569, 2.0572679788626114E8, 1.6315320121065614E8, 1.1009947467319473E-5, 166.32386708663302, 6.641689454856747E-4, 0.0027350959839217916, 7.674314480838604E-4, 33.97375813562927, -12.791746831844838, 0.004976375950986, -50.2543, 153.4057, 10475
6755.193454822881, -23.390243477415257, 521.6955276342012, 14.130926803201893, 508.8635813964955, 4.5451983619785615E-6, 4.980401747026588E15, 0.7760213322411699, 0.17784123244179342, 0.07252528277944417, 0.7048763923437521, 0.057936623019211916, 2.058639824803038, 46217.612018531225, 46217.612018531225, 2.153740720063555E8, 1.694330880706601E8, 1.1290959095381307E-5, 166.68913416098007, 7.133142614013103E-4, 0.00286759890654058, 7.813734531137272E-4, 33.8879621571468, -13.056108882675954, 0.007250633792495315, -50.2903, 153.5556, 10477
7085.654108776985, -20.995836365046383, 534.3895193466956, 14.449093209589128, 547.8291999249211, 4.654098332049718E-6, 4.940426594396872E15, 0.7794771042146658, 0.17954232296996084, 0.07552090941751913, 0.7057195649085873, -0.05435894849479873, 2.2084777875054797, 48405.06277748225, 48405.06277748225, 2.2556759254306728E8, 1.7598185867429036E8, 1.156643266531995E-5, 167.26899026735705, 7.662102453321573E-4, 0.003006920045371388, 7.921753663698226E-4, 33.79945637938956, -13.326308713589526, 0.01025232138041903, -50.3292, 153.7136, 10479
7434.76618301827, -17.166342737732737, 547.3375941358005, 14.777778021664824, 566.3025886223859, 4.764523973709845E-6, 4.899489594293275E15, 0.7828509034686839, 0.1812453635698918, 0.0785532693960404, 0.7066863862981336, 0.06280206562494406, 2.043010204942789, 50716.05232219642, 50716.05232219642, 2.363368038214353E8, 1.8281587682157224E8, 1.183807273293849E-5, 168.1040412387902, 8.224516195637871E-4, 0.003151741822736896, 7.978486390311438E-4, 33.70869103813918, -13.603246477184216, 0.014120538955468253, -50.371, 153.8803, 10483
7803.582376179891, -11.060422324991599, 560.3659733394647, 15.117253229148213, 529.4291421718611, 4.876762334146977E-6, 4.857828691408175E15, 0.78615306481701, 0.1829547615198099, 0.08162968280666952, 0.709720474385552, 0.013577377073606893, 1.9859754605890783, 53155.836450959694, 53155.836450959694, 2.4770619786147216E8, 1.899576694821365E8, 1.210306512843314E-5, 168.88728095708146, 8.823452027913308E-4, 0.0033027205839361736, 7.892346733480104E-4, 33.662510758858765, -13.786780677881463, 0.01985743904514236, -50.4162, 154.0561, 10489
