angle, time_diff, t, z, eps, Dh, Dv, sigmah, sigmav, sigmas, rice, Nice, g_t, Qabs_t, Qsca_t, g_s, Qabs_s, Qsca_s, c1_esp, CCS, CCS_rest, V, V_rest, IWC, RHice, Re, v_sed, windshear_s, wind_u, wind_v, wind_w, lat, lon, altitude
80, 900.0, 20267.40480332372, 294.62056195072626, 0.06135526359713373, 20.0, 0.014113583231881104, 900.5359729563877, 24.195472726417687, 118.84887491665584, 7.1141101682834535E-6, 5.39100194928734E16, 0.8333056465233338, 0.21357511072372984, 0.14147495187419692, 0.725164559852819, -0.02524755300867281, 1.9241535913159242, 0.9509, 136964.27343796083, 136964.27343796083, 5.744281627988077E9, 5.478642662520352E9, 1.3646015545550127E-5, 173.31762333469496, 0.002702808167137531, 0.007100283136102217, 1.893984649518702E-4, 37.094610603945576, -6.39977236026056, 0.023165069405397143, -51.7825, 160.7276, 10786
80, 900.0, 20327.40480332372, 295.550434191465, 0.06135526359713373, 20.0, 0.014113583231881104, 901.8881051898184, 24.230446352526155, 174.69204407415342, 7.12077334851739E-6, 5.3906285126571272E16, 0.8334082645846764, 0.21365862729159654, 0.1416485817537115, 0.7251936609092964, -0.012850577820495123, 1.9117028965496674, 0.9509, 137368.27317633666, 137368.27317633666, 5.761225377015559E9, 5.494420239352962E9, 1.3644012212610518E-5, 173.33266951395788, 0.0027104813366349953, 0.007113835274409659, 1.9356187038043412E-4, 37.080030311881046, -6.350035803251608, 0.022611460503048207, -51.7859, 160.7599, 10787
80, 900.0, 20387.40480332372, 296.446167511396, 0.06135526359713373, 20.0, 0.014113583231881104, 903.2465745852977, 24.26536957127325, 231.6836887605104, 7.127418972592693E-6, 5.3902531424503704E16, 0.8335104500785345, 0.21374188738153302, 0.14182172591130984, 0.7252192970235316, 0.011866411950323154, 1.8870834945503223, 0.9508, 137772.4481034172, 137772.4481034172, 5.778176473457317E9, 5.510200475578837E9, 1.3641975787532123E-5, 173.34715183982567, 0.0027181510599301856, 0.007127356465223523, 1.978108783354959E-4, 37.06543030527801, -6.300438954172507, 0.022056008433982508, -51.7893, 160.7923, 10787
80, 900.0, 20447.40480332372, 297.3076555824918, 0.06135526359713373, 20.0, 0.014113583231881104, 904.6117744605366, 24.300242599988575, 289.8289879370738, 7.1340474342419115E-6, 5.3898757213514248E16, 0.8336122107206267, 0.21382489627106685, 0.14199439482295004, 0.7252398870942668, 0.018292533189598607, 1.8809044035624414, 0.9507, 138176.80353147007, 138176.80353147007, 5.795135140109855E9, 5.525983441799999E9, 1.3639908103208515E-5, 173.36109587563658, 0.0027258182640545613, 0.00714084776296758, 2.0214241339964765E-4, 37.05081136592644, -6.2509776387733575, 0.021498753954902194, -51.7927, 160.8246, 10788
80, 900.0, 20507.40480332372, 298.13479450169024, 0.06135526359713373, 20.0, 0.014113583231881104, 905.9841036244226, 24.335065654444517, 349.1330520054168, 7.140659176827256E-6, 5.3894961304494336E16, 0.8337135549379686, 0.21390765984842128, 0.1421666002499595, 0.7252793218838334, 1.888399663146224E-4, 1.8994025260226435, 0.9506, 138581.34475892398, 138581.34475892398, 5.812101599189272E9, 5.541769204949949E9, 1.363781029800276E-5, 173.37447583162617, 0.0027334829137205924, 0.007154309485638728, 2.0655341156401483E-4, 37.036174248578156, -6.201647691508096, 0.02093973863987683, -51.7961, 160.857, 10789
80, 900.0, 20567.40480332372, 298.92748290395684, 0.06135526359713373, 20.0, 0.014113583231881104, 907.3639662870247, 24.36983894887184, 409.6009216820965, 7.147254522441254E-6, 5.3891142492667752E16, 0.8338144892500996, 0.21399018247340176, 0.14233835078796922, 0.7253286412330983, -0.02917205819930411, 1.9293030274710103, 0.9506, 138986.07705853396, 138986.07705853396, 5.829076071834914E9, 5.557557827825357E9, 1.363568416253713E-5, 173.38731728328565, 0.002741145862350071, 0.007167742552871337, 2.1104082041225388E-4, 37.021519681464, -6.152444955864663, 0.020379004867038582, -51.7995, 160.8893, 10790
80, 900.0, 20627.40480332372, 299.6856219455892, 0.06135526359713373, 20.0, 0.014113583231881104, 908.7517719649555, 24.40456269597504, 471.237566843779, 7.153833906591056E-6, 5.3887299557888704E16, 0.8339150218673163, 0.21407246991530046, 0.14250965797948015, 0.725334279066846, 0.006318079600456621, 1.8944952816668135, 0.9505, 139391.00566554448, 139391.00566554448, 5.846058777612935E9, 5.573349368619732E9, 1.3633530795009059E-5, 173.39959444631305, 0.0027488070682179966, 0.0071811472722658485, 2.1560159939402475E-4, 37.00684836684295, -6.103365284510781, 0.019816595809430848, -51.8028, 160.9216, 10791
80, 900.0, 20687.40480332372, 300.40911541613156, 0.06135526359713373, 20.0, 0.014113583231881104, 910.147935382017, 24.439237106947555, 534.0478853568579, 7.160397643212791E-6, 5.3883431264953944E16, 0.8340151590954652, 0.21415452641289676, 0.14268053019468055, 0.7253441426966617, 0.029721576552436336, 1.8719144075051497, 0.9504, 139796.13576573852, 139796.13576573852, 5.863049934015074E9, 5.589143880454639E9, 1.3631351640175816E-5, 173.4113072214495, 0.0027564668647477066, 0.007194524131383793, 2.2023272001781046E-4, 36.99216098152773, -6.054404539637641, 0.019252555420599553, -51.8061, 160.9539, 10791
80, 900.0, 20747.40480332372, 301.0978697519346, 0.06135526359713373, 20.0, 0.014113583231881104, 911.5528763650573, 24.473862391486723, 598.0367018877552, 7.166946105921843E-6, 5.387953636392892E16, 0.8341149081096209, 0.21423635694225127, 0.14285097735133898, 0.7253870887553525, -0.0027959576381124084, 1.9053920875954393, 0.9504, 140201.47248349778, 140201.47248349778, 5.880049755957897E9, 5.604941410913537E9, 1.36291481234197E-5, 173.422455514014, 0.0027641256563490503, 0.007207873740634735, 2.2493116610963716E-4, 36.977458177434805, -6.005558593162421, 0.01868692842422667, -51.8094, 160.9862, 10792
80, 900.0, 20807.40480332372, 301.7516791218243, 0.06135526359713373, 20.0, 0.014113583231881104, 912.9843091471728, 24.508438757808584, 673.8505896036188, 7.1734796639525856E-6, 5.3875613590488368E16, 0.8342142759739529, 0.21431796641520076, 0.1430210092465891, 0.7253854439412207, 0.03199252779861689, 1.8716984159958856, 0.9503, 140607.82548481968, 140607.82548481968, 5.897092200833338E9, 5.620768831750256E9, 1.3626916912073021E-5, 173.4330392338987, 0.002771779299971785, 0.007221196704845778, 2.3061112314360396E-4, 36.961302876932, -5.965515174746957, 0.018117844299555864, -51.8126, 161.0185, 10793
