angle, time_diff, t, z, eps, Dh, Dv, sigmah, sigmav, sigmas, rice, Nice, g_t, Qabs_t, Qsca_t, g_s, Qabs_s, Qsca_s, distance_between_contrails, state_indicator, CCS, CCS_esti, V_inter, IWC, RHice, Re, v_sed, windshear_s, wind_u, wind_v, wind_w, lat, lon, altitude
0.0, 900.0, 11.199145919498765, -0.11254765583893145, 0.061339204406533815, 20.0, 0.014110167174222575, 26.165961219142567, 3.6910570883107345, 0.004488829434557322, 1.2795295507509144E-6, 6.1009274637841256E16, 0.524266293796138, 0.10751615527161107, -0.013221950330835647, 0.6619854447655061, 0.41054078319803305, 1.6651130953118833, 17.18795123769594, 0.0, 606.8303921311423, 606.8303921311423, 2.545046664598011E7, 1.9288967145125605E-5, 146.52165727258978, 1.591008242631119E-5, 2.2728941998585416E-4, 2.97655177102086E-5, 40.75029576427767, 0.5800399261336859, -0.009831813113347342, -49.9867, 150.5314, 10491
0.0, 900.0, 11.831233204029326, -0.11890608907981348, 0.061339204406533815, 20.0, 0.014110167174222575, 26.644718390229812, 3.6934726401688387, 0.004770946601585995, 1.2789640460677942E-6, 6.109023144844704E16, 0.52416185569249, 0.1074984662746989, -0.013232645987383995, 0.6669434551755636, 0.19271354509212904, 1.8815059978066655, 17.187318984342525, 0.0, 618.3379312752371, 618.3379312752371, 2.5933092837683443E7, 1.892998905886513E-5, 146.51470204565928, 1.5889004094268086E-5, 2.270885047274505E-4, 2.9926245225819778E-5, 40.749111323916026, 0.5786859869029786, -0.009832334241501768, -49.9867, 150.5318, 10491
0.0, 900.0, 12.498995917573593, -0.12562362540310024, 0.061339204406533815, 20.0, 0.014110167174222575, 27.141325075499346, 3.696022812526651, 0.005072364380105348, 1.2783781842922386E-6, 6.1174253798369992E16, 0.5240536045818447, 0.10748013903740587, -0.013243721568678951, 0.6611533759090454, 0.4450941870958067, 1.6276311231784748, 17.18665103395652, 0.0, 630.2974608528829, 630.2974608528829, 2.6434675508169908E7, 1.857080149414978E-5, 146.5073592086785, 1.5867187433443372E-5, 2.2688045253907343E-4, 3.0096045397714584E-5, 40.74786006597174, 0.5772557013431996, -0.009832885017912948, -49.9867, 150.5321, 10491
0.0, 900.0, 13.204447605201148, -0.13272056270743327, 0.061339204406533815, 20.0, 0.014110167174222575, 27.65627586292018, 3.6987150083791183, 0.0053945711553338065, 1.2777714711360494E-6, 6.1261429182738288E16, 0.5239414433510444, 0.10746115794656311, -0.013255185865938462, 0.6523668437851077, 0.7200164610250388, 1.3511526075023328, 17.185945371044774, 0.0, 642.7238795137323, 642.7238795137323, 2.6955839506805934E7, 1.8211751287412567E-5, 146.49958509091647, 1.584461325143605E-5, 2.2666508486007375E-4, 3.0275430416177638E-5, 40.74653822304665, 0.5757447686368269, -0.009833467143142705, -49.9867, 150.5325, 10491
0.0, 900.0, 13.949715457811752, -0.14021834836668018, 0.061339204406533815, 20.0, 0.014110167174222575, 28.190074653871985, 3.7015570266022864, 0.005739186887944794, 1.2771433968613727E-6, 6.1351846853619312E16, 0.5238252716255949, 0.10744150689638833, -0.013267047923331929, 0.6634635643078814, 0.3577775586085847, 1.7117710542508324, 17.18519986525779, 0.0, 655.632597583872, 655.632597583872, 2.749723114266759E7, 1.7853179033816347E-5, 146.49140017583318, 1.582127073808741E-5, 2.264422577602085E-4, 3.0464941396869728E-5, 40.74514181555253, 0.5741486461776102, -0.009834082416507786, -49.9867, 150.533, 10491
0.0, 900.0, 14.737046726381994, -0.14813964463799523, 0.061339204406533815, 20.0, 0.014110167174222575, 28.743235031092688, 3.7045570818696794, 0.006107976285833595, 1.276493482437167E-6, 6.144559788938304E16, 0.5237049942883244, 0.10742117073235785, -0.01327931616442743, 0.6551858911477176, 0.646391243296822, 1.4214705200053597, 17.184412264714314, 0.0, 669.0395701603446, 669.0395701603446, 2.8059519572524853E7, 1.7495414345740045E-5, 146.48273645967436, 1.5797138634981538E-5, 2.262117863815072E-4, 3.066515000957026E-5, 40.74366663978624, 0.5724625360337061, -0.009834732743477547, -49.9867, 150.5334, 10491
0.0, 900.0, 15.568815498236312, -0.1565083977298089, 0.061339204406533815, 20.0, 0.014110167174222575, 29.31628065239132, 3.707723825431598, 0.006502863426526853, 1.2758211981802447E-6, 6.154277526860836E16, 0.5235805064072615, 0.10740013270529676, -0.013291999926474132, 0.6545609365193426, 0.6629847179997786, 1.4031214346336447, 17.1835801936077, 0.0, 682.9613327851857, 682.9613327851857, 2.864339829701069E7, 1.7138777716257562E-5, 146.47356815532484, 1.5772199840660507E-5, 2.2597349495900038E-4, 3.087666020964323E-5, 40.74210825533815, 0.5706813706599165, -0.009835420139479585, -49.9867, 150.5339, 10491
0.0, 900.0, 16.44752985577528, -0.16534991091746057, 0.061339204406533815, 20.0, 0.014110167174222575, 29.909745669342666, 3.7110663667791837, 0.006925948002859734, 1.275126033431001E-6, 6.164347394828888E16, 0.5234517061027941, 0.10737837665112261, -0.013305108142480898, 0.6749530146800053, -0.296978391209668, 2.3612577958111483, 17.182701140479843, 0.0, 697.4150398347759, 697.4150398347759, 2.9249586770670503E7, 1.678357947928476E-5, 146.46391160169821, 1.574644396337762E-5, 2.25727241433854E-4, 3.110011005723696E-5, 40.74046197179622, 0.5687997978173827, -0.009836146738799772, -49.9867, 150.5344, 10491
0.0, 900.0, 17.375839439247304, -0.17469092187027327, 0.061339204406533815, 20.0, 0.014110167174222575, 30.524175170100634, 3.7145942962137997, 0.007379523380376525, 1.274407498350031E-6, 6.174779094605128E16, 0.5233184948710976, 0.1073558870471392, -0.013318649306383434, 0.6608142592121238, 0.4661689827645608, 1.5962101561500914, 17.181772450336354, 0.0, 712.4185057694062, 712.4185057694062, 2.9878832131968897E7, 1.6430115933638124E-5, 146.45369443251857, 1.5719849866487728E-5, 2.2547283955807966E-4, 3.133617364875683E-5, 40.73872283470749, 0.5668121646583253, -0.009836914801748255, -49.9867, 150.5349, 10491
0.0, 900.0, 18.35654343636822, -0.18455968433308384, 0.061339204406533815, 20.0, 0.014110167174222575, 31.160125645409593, 3.7183177083406553, 0.007866096685775882, 1.2736650494262326E-6, 6.1855825426056448E16, 0.5231807637526278, 0.10733264668027737, -0.013332632874795303, 0.665618536890882, 0.2690706894429166, 1.791332083448455, 17.18079132106906, 0.0, 727.9902493982103, 727.9902493982103, 3.053191105976094E7, 1.6078672069177786E-5, 146.44290803167343, 1.5692403367326724E-5, 2.2521012421517796E-4, 3.1585563151072544E-5, 40.7368856107551, 0.5647125009296947, -0.009837726720120158, -49.9867, 150.5355, 10491
