angle, time_diff, t, z, eps, Dh, Dv, sigmah, sigmav, sigmas, rice, Nice, g_t, Qabs_t, Qsca_t, g_s, Qabs_s, Qsca_s, distance_between_contrails, state_indicator, c1_esp, CCS, CCS_rest, V, V_rest, IWC, RHice, Re, v_sed, windshear_s, wind_u, wind_v, wind_w, lat, lon, altitude
0.0, 900.0, 24707.40480332372, 351.68476632110435, 0.061339204406533815, 20.0, 0.014110167174222575, 1137.438185768549, 26.656314134161136, 12756.152250287903, 6.185182847467933E-6, 8.8184340686588416E16, 0.8171986178502937, 0.20154294701939754, 0.11699371841075804, 0.7199957174677406, -0.004503018040591229, 1.8991140590680147, 4508.780392801016, 2.0, 1.0, 169620.7201354962, 169620.7201354962, 7.113893002482711E9, 7.113893002482711E9, 1.1305276410227248E-5, 174.40504904442744, 0.001782995459170896, 0.0053804899491518504, 0.0010548135994454747, 35.89581404335526, -4.574568900464615, 0.00945543996295644, -51.9955, 163.151, 10837
0.0, 900.0, 24767.40480332372, 351.9680789020433, 0.061339204406533815, 20.0, 0.014110167174222575, 1143.975495125817, 26.688055442088423, 13030.509257346695, 6.192219826552377E-6, 8.8184340686588416E16, 0.8173357973052507, 0.20163725253735018, 0.11718120224432801, 0.7200601732005022, -0.04026978689876144, 1.9377451543647204, 4522.323004609437, 2.0, 1.0, 170137.69773932846, 170137.69773932846, 7.135575043187436E9, 7.135575043187436E9, 1.130955329472722E-5, 174.40966870347486, 0.0017891352342488869, 0.005392796899296091, 0.00107216487934543, 35.89516671115592, -4.577004643152827, 0.010114616197446757, -51.998, 163.1825, 10837
0.0, 900.0, 24827.40480332372, 352.29212198195415, 0.061339204406533815, 20.0, 0.014110167174222575, 1150.6622572752947, 26.71975904346617, 13309.04560908294, 6.199285971580988E-6, 8.8184340686588416E16, 0.8174732830587702, 0.20173189614338075, 0.11736943246882867, 0.7198743913325405, 0.05112810386843086, 1.8494013142181402, 4536.199133645451, 2.0, 1.0, 170659.64452774325, 170659.64452774325, 7.157465491493552E9, 7.157465491493552E9, 1.1313839376775906E-5, 174.41269435121885, 0.0017953113432161397, 0.005405176885503205, 0.0010898720631827394, 35.89446441557348, -4.579836236597523, 0.010805829714865744, -52.0004, 163.214, 10837
0.0, 900.0, 24887.40480332372, 352.662743239351, 0.061339204406533815, 20.0, 0.014110167174222575, 1157.5651840265227, 26.751425072354536, 13594.733052090498, 6.206402703751931E-6, 8.8184340686588416E16, 0.817611488224301, 0.2018271639673615, 0.11755897917274177, 0.7199451790478613, 0.009663625923860147, 1.8941151230202, 4550.402122932528, 2.0, 1.0, 171191.10777583043, 171191.10777583043, 7.179755060118328E9, 7.179755060118328E9, 1.1318164526993416E-5, 174.40597724332525, 0.0018015403867989084, 0.005417669138135466, 0.0011085173364560176, 35.89357335858838, -4.583594397822653, 0.011594615167735202, -52.0029, 163.2454, 10838
0.0, 900.0, 24947.40480332372, 353.0795260635818, 0.061339204406533815, 20.0, 0.014110167174222575, 1164.5714713517516, 26.783053662021167, 13882.292520373525, 6.213630224434178E-6, 8.8184340686588416E16, 0.8177515736317839, 0.2019238601815773, 0.11775144467680357, 0.7198764388814778, 0.03651823243706581, 1.8707312646765346, 4564.95136442152, 2.0, 1.0, 171726.0894707682, 171726.0894707682, 7.202192192404018E9, 7.202192192404018E9, 1.132247583754388E-5, 174.39719888251594, 0.001807877741268946, 0.005430378615415483, 0.0011272381417127247, 35.892758992650464, -4.58755357321066, 0.012376674928022635, -52.0054, 163.2769, 10838
0.0, 900.0, 25007.40480332372, 353.5420630667267, 0.061339204406533815, 20.0, 0.014110167174222575, 1171.6808817363892, 26.814644944947755, 14171.727316967366, 6.22088582509756E-6, 8.8184340686588416E16, 0.8178919291739863, 0.20202087677317146, 0.11794462555139049, 0.7199491584319244, -0.014463520770062811, 1.9253626465795872, 4579.854656762726, 2.0, 1.0, 172264.66296527325, 172264.66296527325, 7.22477996476356E9, 7.22477996476356E9, 1.1326770796485193E-5, 174.3864078400646, 0.0018142525073514138, 0.005443161972091334, 0.001146037076107684, 35.89202375327089, -4.5917133656947025, 0.013152018081638527, -52.0079, 163.3084, 10839
0.0, 900.0, 25067.40480332372, 354.04994726945677, 0.061339204406533815, 20.0, 0.014110167174222575, 1178.8931630649545, 26.84619905283649, 14463.040715580193, 6.228169738511079E-6, 8.8184340686588416E16, 0.8180325569767186, 0.20211821632746832, 0.11813852759951224, 0.7198798114278558, 0.010824166130805613, 1.9038973337778353, 4595.119687773905, 2.0, 1.0, 172806.90286650154, 172806.90286650154, 7.247521506221074E9, 7.247521506221074E9, 1.1331045627815335E-5, 174.3735493382808, 0.0018206644837187218, 0.005456019215017968, 0.001164916667548551, 35.89137003273096, -4.596073351609967, 0.01392065273018336, -52.0104, 163.3399, 10839
0.0, 900.0, 25127.40480332372, 354.60277214241063, 0.061339204406533815, 20.0, 0.014110167174222575, 1186.2080492073087, 26.877716116616487, 14756.235959682263, 6.235481972504303E-6, 8.8184340686588416E16, 0.8181734548039693, 0.2022158784190803, 0.11833315063178998, 0.719868857129655, -8.138169230326808E-4, 1.9195237241758303, 4610.760494974424, 2.0, 1.0, 173352.88501885455, 173352.88501885455, 7.27041999769076E9, 7.27041999769076E9, 1.1335297481284812E-5, 174.3586458889327, 0.0018271142997938355, 0.005468950923547378, 0.0011838793751912612, 35.890800180407886, -4.600633081092983, 0.014682585986848124, -52.0128, 163.3713, 10840
0.0, 900.0, 25187.40480332372, 355.2001314706742, 0.061339204406533815, 20.0, 0.014110167174222575, 1193.6252605979944, 26.909196266450106, 15051.316261563927, 6.242822710643262E-6, 8.8184340686588416E16, 0.8183146237982951, 0.20231386496733073, 0.1185284991332129, 0.7199053870940803, -0.03842598404314557, 1.9612832553189803, 4626.787906701854, 2.0, 1.0, 173902.68648435996, 173902.68648435996, 7.293478671154057E9, 7.293478671154057E9, 1.1339522583037615E-5, 174.341642474186, 0.0018336017090068125, 0.005481957018152312, 0.0012029275896458188, 35.89031650289078, -4.605392077962902, 0.01543782398223674, -52.0153, 163.4028, 10840
0.0, 900.0, 25247.40480332372, 355.8416193702589, 0.061339204406533815, 20.0, 0.014110167174222575, 1201.144504808863, 26.94063963173924, 15348.284801411051, 6.250191972689808E-6, 8.8184340686588416E16, 0.8184560619372018, 0.2024121757011257, 0.11872457322574545, 0.719804162642082, 0.0049618506314248, 1.922194122611324, 4643.192073056539, 2.0, 1.0, 174456.38552373054, 174456.38552373054, 7.316700808865259E9, 7.316700808865259E9, 1.1343718081356053E-5, 174.32256135101974, 0.0018401273555584755, 0.005495038102558625, 0.0012220636334094536, 35.88992126426006, -4.610349840035225, 0.01618637186526687, -52.0178, 163.4343, 10841
